vmcache blk:/dev/loop0 virtgb:16 physgb:4 exmap:0
space: 12.8223 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch
0,115,12.2227,12.8086,vmcache,4,70,tpcc,64
1,141,13.7305,13.3945,vmcache,4,70,tpcc,64
2,142,14.4141,15.0312,vmcache,4,70,tpcc,64
3,99,13.625,13.1562,vmcache,4,70,tpcc,64
4,155,14.0781,14.2773,vmcache,4,70,tpcc,64
5,240,14.5156,14.3594,vmcache,4,70,tpcc,64
6,154,12.4258,12.7344,vmcache,4,70,tpcc,64
7,248,17.0312,17.1875,vmcache,4,70,tpcc,64
8,258,19.5664,19.8984,vmcache,4,70,tpcc,64
9,274,16.7852,16.8164,vmcache,4,70,tpcc,64
10,313,13.8164,13.8477,vmcache,4,70,tpcc,64
11,399,18.3125,18.5547,vmcache,4,70,tpcc,64
12,354,14.3633,14.7148,vmcache,4,70,tpcc,64
13,220,12.5352,12.1211,vmcache,4,70,tpcc,64
14,299,14.918,14.9609,vmcache,4,70,tpcc,64
15,397,15.1328,15.8398,vmcache,4,70,tpcc,64
16,419,13.9414,14.3086,vmcache,4,70,tpcc,64
17,471,19.1797,19.6211,vmcache,4,70,tpcc,64
18,578,20.8008,21.293,vmcache,4,70,tpcc,64
19,439,16.4883,16.6445,vmcache,4,70,tpcc,64
20,442,14.5742,15.3906,vmcache,4,70,tpcc,64
21,468,17.6602,17.8789,vmcache,4,70,tpcc,64
22,559,16.0234,16.2461,vmcache,4,70,tpcc,64
23,532,17.5195,17.5039,vmcache,4,70,tpcc,64
24,311,11.2109,12.3008,vmcache,4,70,tpcc,64
25,354,12.168,11.4766,vmcache,4,70,tpcc,64
26,647,15.3164,15.6328,vmcache,4,70,tpcc,64
27,512,14.0898,14.5977,vmcache,4,70,tpcc,64
28,689,16.8477,18.5273,vmcache,4,70,tpcc,64
29,485,14.3672,14.8398,vmcache,4,70,tpcc,64
space: 12.8293 GB 
