vmcache blk:/dev/loop0 virtgb:16 physgb:4 exmap:0
space: 6.49915 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch
0,3410,126.898,128.996,vmcache,4,35,tpcc,64
1,12048,139.672,150.09,vmcache,4,35,tpcc,64
2,15862,121.082,134.582,vmcache,4,35,tpcc,64
3,15750,97.8633,110.945,vmcache,4,35,tpcc,64
4,13745,78.6484,91.0703,vmcache,4,35,tpcc,64
5,16103,89.4375,103.652,vmcache,4,35,tpcc,64
6,15054,79.7539,83.0742,vmcache,4,35,tpcc,64
7,15147,83.2148,87.8516,vmcache,4,35,tpcc,64
8,16280,82.1484,97.582,vmcache,4,35,tpcc,64
9,17547,82.4062,97.2852,vmcache,4,35,tpcc,64
10,19782,85.9727,104.672,vmcache,4,35,tpcc,64
11,13080,55.4844,66.6289,vmcache,4,35,tpcc,64
12,13377,56.3008,67.6289,vmcache,4,35,tpcc,64
13,12177,48.2148,59.0547,vmcache,4,35,tpcc,64
14,10649,43.2109,53.4492,vmcache,4,35,tpcc,64
15,20468,76.75,94.6133,vmcache,4,35,tpcc,64
16,22531,80.9805,102.691,vmcache,4,35,tpcc,64
17,23739,84.5859,105.316,vmcache,4,35,tpcc,64
18,6181,21.043,25.4844,vmcache,4,35,tpcc,64
19,1679,6.875,9.33984,vmcache,4,35,tpcc,64
20,21178,73.6055,91.7812,vmcache,4,35,tpcc,64
21,14100,46.4844,60.375,vmcache,4,35,tpcc,64
22,21388,72.1719,90.8047,vmcache,4,35,tpcc,64
23,24326,75.4844,97.1719,vmcache,4,35,tpcc,64
24,9390,29.8516,37.0469,vmcache,4,35,tpcc,64
25,1675,4.54297,6.13281,vmcache,4,35,tpcc,64
26,11704,36.4023,47.3945,vmcache,4,35,tpcc,64
27,13978,40.4297,53.6953,vmcache,4,35,tpcc,64
28,17612,54.3359,69.6484,vmcache,4,35,tpcc,64
29,16510,49.9531,65.1719,vmcache,4,35,tpcc,64
space: 6.877 GB 
