vmcache blk:/dev/loop0 virtgb:16 physgb:4 exmap:0
space: 7.40088 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch
0,2494,111.512,112.926,vmcache,4,40,tpcc,64
1,2715,64.4141,66.1016,vmcache,4,40,tpcc,64
2,2631,50.2539,53.4961,vmcache,4,40,tpcc,64
3,8578,104.977,111.5,vmcache,4,40,tpcc,64
4,11465,105.441,115.082,vmcache,4,40,tpcc,64
5,12119,94.0859,104.969,vmcache,4,40,tpcc,64
6,10376,74.3281,82.4219,vmcache,4,40,tpcc,64
7,9160,64.832,72.4961,vmcache,4,40,tpcc,64
8,9329,63.2812,71.9336,vmcache,4,40,tpcc,64
9,10495,67.5977,77.5625,vmcache,4,40,tpcc,64
10,10083,61.7461,70.3984,vmcache,4,40,tpcc,64
11,14296,78.6992,90.8906,vmcache,4,40,tpcc,64
12,14476,76.8164,88.957,vmcache,4,40,tpcc,64
13,14883,77.2812,90.5078,vmcache,4,40,tpcc,64
14,11643,57.1602,67.543,vmcache,4,40,tpcc,64
15,7788,38.7539,46.6172,vmcache,4,40,tpcc,64
16,6244,29.3945,34.4023,vmcache,4,40,tpcc,64
17,5512,25.2578,30.707,vmcache,4,40,tpcc,64
18,5571,25.5352,30.2969,vmcache,4,40,tpcc,64
19,4863,22.0938,26.1797,vmcache,4,40,tpcc,64
20,3568,16.5156,19.9414,vmcache,4,40,tpcc,64
21,2297,10.4961,13.1797,vmcache,4,40,tpcc,64
22,4058,18.7852,22.0781,vmcache,4,40,tpcc,64
23,3760,16.9453,20.1211,vmcache,4,40,tpcc,64
24,3721,15.6836,18.7539,vmcache,4,40,tpcc,64
25,3463,16.1445,19.5,vmcache,4,40,tpcc,64
26,3590,15.1836,18.2695,vmcache,4,40,tpcc,64
27,3573,15.8008,19.7305,vmcache,4,40,tpcc,64
28,3226,13.3164,15.8281,vmcache,4,40,tpcc,64
29,3151,14.0195,16.4023,vmcache,4,40,tpcc,64
space: 7.57927 GB
